Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine,Brand
Renault Megane E Tech,25178.0,2023,4882.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Volkswagen T-Cross,21699.0,2020,3581.0,Automatic,Petrol,5.0,1.0,5.0,1.0,Volkswagen
Volkswagen Tiguan,16995.0,2017,41114.0,Semi-automatic,Diesel,5.0,1.0,5.0,2.0,Volkswagen
Citroen C3 Aircross,13500.0,2022,12251.0,Manual,Petrol,5.0,1.0,5.0,1.2,Citroen
Nissan Qashqai,17745.0,2022,10468.0,Manual,Hybrid,5.0,1.0,5.0,1.3,Nissan
Volkswagen Tiguan,28940.0,2019,15784.0,Semi-automatic,Petrol,5.0,1.0,5.0,2.0,Volkswagen
Nissan Qashqai,34995.0,2023,1010.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.5,Nissan
Volkswagen Touareg,53031.0,2023,1459.0,Semi-automatic,Diesel,5.0,1.0,5.0,3.0,Volkswagen
Volkswagen T-Cross,18290.0,2021,15254.0,Automatic,Petrol,5.0,1.0,5.0,1.0,Volkswagen
Volkswagen Tiguan,22990.0,2020,29127.0,Semi-automatic,Petrol,5.0,1.0,5.0,2.0,Volkswagen
Volkswagen Golf,22001.0,2020,12398.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.5,Volkswagen
Mercedes-Benz GLA,15190.0,2017,46600.0,Semi-automatic,Diesel,5.0,3.0,5.0,2.1,Mercedes-Benz
Nissan Juke,22600.0,2023,1659.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Nissan
Dacia Duster,10995.0,2019,27710.0,Manual,Petrol,5.0,1.0,5.0,1.3,Dacia
Toyota C-HR,19490.0,2021,23845.0,Automatic,Hybrid,5.0,1.0,5.0,1.8,Toyota
Volkswagen Touran,19995.0,2020,44352.0,Semi-automatic,Petrol,7.0,1.0,5.0,1.5,Volkswagen
Dacia Sandero Stepway,12499.0,2022,9535.0,Manual,Petrol,5.0,1.0,5.0,1.0,Dacia
Skoda Superb,36000.0,2023,3998.0,Semi-automatic,Diesel,5.0,1.0,5.0,2.0,Skoda
Volkswagen ID.3,24500.0,2021,2472.0,Automatic,Electric,5.0,1.0,5.0,,Volkswagen
Ford EcoSport,9990.0,2018,36629.0,Manual,Petrol,5.0,2.0,5.0,1.0,Ford
Toyota RAV4,28990.0,2022,21538.0,Automatic,Hybrid,5.0,1.0,5.0,2.5,Toyota
Skoda Karoq,17890.0,2020,16773.0,Manual,Petrol,5.0,1.0,5.0,1.5,Skoda
Skoda Kamiq,18290.0,2021,12050.0,Manual,Petrol,5.0,2.0,5.0,1.0,Skoda
Volkswagen ID.4,26000.0,2022,3738.0,Automatic,Electric,5.0,1.0,5.0,,Volkswagen
Toyota RAV4,24990.0,2020,31393.0,Automatic,Hybrid,5.0,1.0,5.0,2.5,Toyota
Toyota Corolla,24473.0,2022,6702.0,Automatic,Hybrid,5.0,2.0,5.0,2.0,Toyota
Dacia Duster,10995.0,2019,27710.0,Manual,Petrol,5.0,1.0,5.0,1.3,Dacia
Nissan Juke,22600.0,2023,1659.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Nissan
Skoda Kodiaq,31000.0,2023,4998.0,Automatic,Diesel,5.0,1.0,5.0,2.0,Skoda
Renault Megane E Tech,25000.0,2023,3290.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Toyota Yaris,17690.0,2020,14806.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Toyota
Honda Civic,13650.0,2019,26020.0,Automatic,Petrol,5.0,1.0,5.0,1.0,Honda
Renault Megane E Tech,24140.0,2022,5843.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Mercedes-Benz GLC,22577.0,2017,62371.0,Semi-automatic,Diesel,5.0,3.0,5.0,3.0,Mercedes-Benz
Toyota RAV4,24990.0,2019,31458.0,Automatic,Hybrid,5.0,2.0,5.0,2.5,Toyota
Nissan Juke,22895.0,2023,11.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Nissan
Dacia Sandero Stepway,12386.0,2022,8113.0,Manual,Petrol,5.0,1.0,5.0,1.0,Dacia
Renault Captur,9900.0,2020,44381.0,Manual,Petrol,5.0,1.0,5.0,1.0,Renault
Hyundai IONIQ,16399.0,2020,7711.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Hyundai
SEAT Ibiza,13000.0,2020,21737.0,Manual,Petrol,5.0,1.0,5.0,1.0,SEAT
Honda Jazz,15550.0,2020,13808.0,Automatic,Petrol,5.0,1.0,5.0,1.3,Honda
Cupra Born,29990.0,2023,15998.0,Automatic,Electric,5.0,1.0,5.0,,Cupra
Mercedes-Benz CLS,29995.0,2019,14713.0,Semi-automatic,Diesel,5.0,2.0,4.0,2.9,Mercedes-Benz
Peugeot 2008,14990.0,2021,17838.0,Manual,Petrol,5.0,1.0,5.0,1.2,Peugeot
SEAT Leon,17240.0,2020,28693.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.5,SEAT
Toyota RAV4,26940.0,2020,34741.0,Automatic,Hybrid,5.0,1.0,5.0,2.5,Toyota
Hyundai Kona,18628.0,2020,19624.0,Automatic,Electric,5.0,1.0,5.0,,Hyundai
Hyundai i10,8531.0,2016,6246.0,Manual,Petrol,5.0,3.0,5.0,1.2,Hyundai
Vauxhall Corsa,7000.0,2018,55370.0,Manual,Petrol,5.0,2.0,3.0,1.4,Vauxhall
Hyundai Tucson,34999.0,2023,10.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.6,Hyundai
Skoda Karoq,26990.0,2023,2998.0,Manual,Diesel,5.0,1.0,5.0,2.0,Skoda
Peugeot Rifter,22001.0,2019,20849.0,Manual,Diesel,7.0,3.0,5.0,1.5,Peugeot
Vauxhall Corsa,11449.0,2020,11346.0,Manual,Petrol,5.0,2.0,5.0,1.2,Vauxhall
Toyota C-HR,19989.0,2021,42885.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Toyota
Nissan Qashqai,19415.0,2022,11411.0,Manual,Hybrid,5.0,1.0,5.0,1.3,Nissan
Volkswagen T-Roc,22995.0,2019,39229.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.5,Volkswagen
Dacia Duster,12395.0,2020,19903.0,Manual,Petrol,5.0,2.0,5.0,1.3,Dacia
BMW 1 Series,14015.0,2019,45911.0,Semi-automatic,Petrol,5.0,3.0,5.0,2.0,BMW
Renault Zoe,11850.0,2021,11758.0,Automatic,Electric,5.0,1.0,5.0,,Renault
MINI Hatchback,16250.0,2019,29100.0,Semi-automatic,Petrol,4.0,2.0,3.0,2.0,MINI
Hyundai Kona,18788.0,2020,15151.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Hyundai
Nissan X-Trail,39745.0,2023,943.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.5,Nissan
Volkswagen T-Roc,22995.0,2019,39229.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.5,Volkswagen
Kia Sportage,16900.0,2020,26138.0,Manual,Hybrid,5.0,1.0,5.0,1.6,Kia
Toyota Highlander,37990.0,2022,15424.0,Automatic,Hybrid,7.0,1.0,5.0,2.5,Toyota
Nissan Qashqai,11717.0,2019,45549.0,Manual,Diesel,5.0,2.0,5.0,1.5,Nissan
Honda CR-V,24719.0,2020,13224.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Honda
Peugeot 2008,17595.0,2021,31107.0,Manual,Petrol,5.0,1.0,5.0,1.2,Peugeot
Hyundai i10,13999.0,2023,5697.0,Manual,Petrol,5.0,1.0,5.0,1.2,Hyundai
Toyota Prius,18549.0,2021,42724.0,Automatic,Hybrid,5.0,1.0,5.0,1.8,Toyota
Lexus CT,16500.0,2020,20563.0,Automatic,Hybrid,5.0,2.0,5.0,1.8,Lexus
Hyundai Tucson,12995.0,2020,45285.0,Manual,Petrol,5.0,1.0,5.0,1.6,Hyundai
Citroen Grand C4 Picasso,11700.0,2016,45093.0,Semi-automatic,Diesel,7.0,2.0,5.0,1.6,Citroen
Renault Zoe,12800.0,2022,9060.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Honda CR-V,28495.0,2022,23937.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Honda
Ford Kuga,14621.0,2019,36127.0,Manual,Petrol,5.0,1.0,5.0,1.5,Ford
BMW 3 Series,23995.0,2019,26787.0,Semi-automatic,Diesel,5.0,1.0,4.0,2.0,BMW
Toyota Aygo,8400.0,2018,24000.0,Manual,Petrol,4.0,1.0,5.0,1.0,Toyota
Honda Jazz,22562.0,2022,8213.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Honda
Hyundai Tucson,12995.0,2020,45285.0,Manual,Petrol,5.0,1.0,5.0,1.6,Hyundai
Lexus CT,16500.0,2020,20563.0,Automatic,Hybrid,5.0,2.0,5.0,1.8,Lexus
BMW 2 Series,21500.0,2019,24870.0,Semi-automatic,Petrol,4.0,2.0,2.0,3.0,BMW
Nissan Juke,12995.0,2020,20933.0,Manual,Petrol,5.0,1.0,5.0,1.0,Nissan
Honda Civic,13999.0,2018,28497.0,Manual,Petrol,5.0,2.0,5.0,1.0,Honda
Hyundai Kona,18325.0,2020,21847.0,Automatic,Electric,5.0,1.0,5.0,,Hyundai
Vauxhall Corsa,14765.0,2022,12270.0,Automatic,Electric,5.0,1.0,5.0,,Vauxhall
Honda Civic,44899.0,2023,6874.0,Manual,Petrol,4.0,1.0,5.0,2.0,Honda
Renault Kadjar,15588.0,2020,15103.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.3,Renault
Renault Captur,9200.0,2018,58423.0,Manual,Petrol,5.0,1.0,5.0,0.9,Renault
Nissan Micra,9995.0,2020,29869.0,Manual,Petrol,5.0,1.0,5.0,1.0,Nissan
Hyundai i10,6491.0,2018,59681.0,Manual,Petrol,5.0,2.0,5.0,1.0,Hyundai
Toyota Yaris,14690.0,2020,19653.0,Automatic,Hybrid,5.0,2.0,5.0,1.5,Toyota
Renault Arkana,20286.0,2021,13454.0,Semi-automatic,Hybrid,5.0,1.0,4.0,1.6,Renault
Nissan Leaf,13000.0,2021,39628.0,Automatic,Electric,5.0,1.0,5.0,,Nissan
Ford Fiesta,12788.0,2021,13878.0,Manual,Petrol,5.0,1.0,5.0,1.0,Ford
Hyundai i10,6491.0,2018,59681.0,Manual,Petrol,5.0,2.0,5.0,1.0,Hyundai
Toyota Yaris,14690.0,2020,19653.0,Automatic,Hybrid,5.0,2.0,5.0,1.5,Toyota
Hyundai IONIQ 5,43999.0,2023,3879.0,Automatic,Electric,5.0,1.0,5.0,,Hyundai
Nissan Juke,25978.0,2023,5758.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Nissan
Toyota C-HR,15393.0,2018,36095.0,Automatic,Hybrid,5.0,2.0,5.0,1.8,Toyota
Renault Kadjar,15588.0,2020,15103.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.3,Renault
Renault Captur,9200.0,2018,58423.0,Manual,Petrol,5.0,1.0,5.0,0.9,Renault
Nissan Micra,9995.0,2020,29869.0,Manual,Petrol,5.0,1.0,5.0,1.0,Nissan
Renault Zoe,13888.0,2022,14952.0,Automatic,Electric,5.0,1.0,5.0,,Renault
DS DS 7,17500.0,2019,32195.0,Semi-automatic,Diesel,5.0,2.0,5.0,2.0,DS
Volkswagen ID.5,44500.0,2023,3641.0,Automatic,Electric,5.0,1.0,5.0,,Volkswagen
Mercedes-Benz GLC,20990.0,2018,68257.0,Semi-automatic,Diesel,5.0,2.0,5.0,2.1,Mercedes-Benz
Citroen C1,9499.0,2020,8754.0,Manual,Petrol,4.0,2.0,3.0,1.0,Citroen
Renault Zoe,11988.0,2020,13523.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Toyota Yaris,13490.0,2018,19036.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Toyota
Toyota RAV4,17276.0,2018,55683.0,Automatic,Hybrid,5.0,2.0,5.0,2.5,Toyota
Ford Kuga,16369.0,2020,23478.0,Manual,Petrol,5.0,1.0,5.0,1.5,Ford
Mercedes-Benz CLS,25961.0,2018,65977.0,Semi-automatic,Diesel,5.0,2.0,4.0,2.9,Mercedes-Benz
Hyundai Kona,16555.0,2020,19093.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Hyundai
Honda Civic,15445.0,2018,8868.0,Automatic,Petrol,5.0,2.0,5.0,1.0,Honda
Volkswagen Golf,20541.0,2020,3426.0,Semi-automatic,Hybrid,5.0,1.0,5.0,1.5,Volkswagen
Hyundai Kona,18362.0,2022,9328.0,Automatic,Hybrid,5.0,1.0,5.0,1.6,Hyundai
Hyundai i10,12493.0,2020,10314.0,Manual,Petrol,5.0,1.0,5.0,1.2,Hyundai
Hyundai i10,9228.0,2019,20794.0,Manual,Petrol,5.0,2.0,5.0,1.0,Hyundai
Peugeot 208,15896.0,2021,10973.0,Automatic,Electric,5.0,1.0,5.0,,Peugeot
Nissan Juke,13995.0,2020,39972.0,Manual,Petrol,5.0,2.0,5.0,1.0,Nissan
Hyundai Tucson,13343.0,2020,38815.0,Manual,Diesel,5.0,1.0,5.0,1.6,Hyundai
Kia Rio,12650.0,2019,17845.0,Manual,Petrol,5.0,2.0,5.0,1.0,Kia
Dacia Sandero Stepway,8788.0,2019,21452.0,Manual,Petrol,5.0,1.0,5.0,0.9,Dacia
Audi Q2,22750.0,2019,22566.0,Semi-automatic,Petrol,5.0,1.0,5.0,2.0,Audi
Toyota Yaris,15490.0,2020,11195.0,Automatic,Hybrid,5.0,3.0,5.0,1.5,Toyota
Hyundai i20,17429.0,2023,3462.0,Manual,Hybrid,5.0,1.0,5.0,1.0,Hyundai
Dacia Sandero,7595.0,2019,27332.0,Manual,Petrol,5.0,1.0,5.0,0.9,Dacia
Toyota Prius,18490.0,2017,57314.0,Automatic,Hybrid,4.0,1.0,5.0,1.8,Toyota
Toyota Corolla,24319.0,2023,7225.0,Automatic,Hybrid,5.0,1.0,5.0,1.8,Toyota
Suzuki Swift,10126.0,2020,15321.0,Manual,Hybrid,5.0,1.0,5.0,1.2,Suzuki
Hyundai Tucson,14156.0,2020,39495.0,Manual,Diesel,5.0,1.0,5.0,1.6,Hyundai
Dacia Duster,13179.0,2018,15765.0,Manual,Diesel,5.0,1.0,5.0,1.5,Dacia
Citroen C3,14300.0,2021,10977.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.2,Citroen
Mercedes-Benz A-Class,17000.0,2019,40554.0,Semi-automatic,Petrol,5.0,1.0,5.0,1.3,Mercedes-Benz
Jeep Renegade,15990.0,2021,11112.0,Automatic,Petrol,5.0,1.0,5.0,1.3,Jeep
Toyota Corolla,19790.0,2020,22541.0,Automatic,Hybrid,5.0,2.0,5.0,2.0,Toyota
Renault Megane E Tech,24500.0,2022,225.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Toyota Corolla,26420.0,2023,5125.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Toyota
Toyota Yaris,17990.0,2021,15503.0,Automatic,Hybrid,5.0,1.0,5.0,1.5,Toyota
Peugeot 208,16250.0,2022,7679.0,Automatic,Electric,5.0,1.0,5.0,,Peugeot
Dacia Duster,12133.0,2019,29876.0,Manual,Petrol,5.0,1.0,5.0,1.6,Dacia
Fiat 124 Spider,11400.0,2018,24731.0,Manual,Petrol,2.0,2.0,2.0,1.4,Fiat
Kia e-Niro,19500.0,2021,9913.0,Automatic,Electric,5.0,1.0,5.0,,Kia
Hyundai Kona,17899.0,2020,12144.0,Automatic,Electric,5.0,1.0,5.0,,Hyundai
Volvo XC60,18990.0,2016,50325.0,Semi-automatic,Diesel,5.0,3.0,5.0,2.0,Volvo
Volkswagen Tiguan,15561.0,2018,43078.0,Manual,Diesel,5.0,2.0,5.0,2.0,Volkswagen
Honda CR-V,30749.0,2023,5641.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Honda
Renault Captur,11585.0,2020,17512.0,Manual,Petrol,5.0,1.0,5.0,1.3,Renault
Kia Sportage,16390.0,2021,28639.0,Manual,Petrol,5.0,2.0,5.0,1.6,Kia
Ford Grand C-MAX,8688.0,2016,52336.0,Manual,Petrol,7.0,3.0,5.0,1.0,Ford
Dacia Duster,9588.0,2017,33051.0,Manual,Diesel,5.0,1.0,5.0,1.5,Dacia
Citroen C3 Aircross,13500.0,2021,12066.0,Manual,Petrol,5.0,1.0,5.0,1.2,Citroen
Volkswagen Golf,9995.0,2018,78200.0,Automatic,Electric,5.0,2.0,5.0,1.0,Volkswagen
Honda CR-V,11500.0,2016,81008.0,Manual,Diesel,5.0,2.0,5.0,1.6,Honda
Renault Zoe,12388.0,2021,5118.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Ford Focus,9650.0,2018,40687.0,Manual,Petrol,5.0,2.0,5.0,1.0,Ford
Volkswagen T-Cross,16995.0,2020,14718.0,Automatic,Petrol,5.0,1.0,5.0,1.0,Volkswagen
Mercedes-Benz A-Class,16182.0,2017,18251.0,Semi-automatic,Petrol,5.0,2.0,5.0,1.6,Mercedes-Benz
BMW 3 Series,15245.0,2016,15700.0,Semi-automatic,Diesel,5.0,1.0,5.0,2.0,BMW
Mercedes-Benz A-Class,12250.0,2016,45780.0,Semi-automatic,Diesel,5.0,6.0,5.0,1.5,Mercedes-Benz
Honda CR-V,30749.0,2023,4919.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Honda
SEAT Arona,11900.0,2021,28500.0,Manual,Petrol,5.0,1.0,5.0,1.0,SEAT
Volkswagen Golf,11501.0,2017,65480.0,Manual,Petrol,5.0,2.0,5.0,1.4,Volkswagen
Vauxhall Corsa,10741.0,2020,24427.0,Manual,Petrol,5.0,1.0,5.0,1.2,Vauxhall
Toyota C-HR,20690.0,2020,21947.0,Automatic,Hybrid,5.0,1.0,5.0,2.0,Toyota
Hyundai Kona,17899.0,2020,12144.0,Automatic,Electric,5.0,1.0,5.0,,Hyundai
Renault Zoe,11788.0,2020,9421.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Volvo XC60,18990.0,2016,50325.0,Semi-automatic,Diesel,5.0,3.0,5.0,2.0,Volvo
Volkswagen Golf,8485.0,2016,63035.0,Manual,Diesel,5.0,1.0,5.0,1.6,Volkswagen
Kia e-Niro,19500.0,2021,9913.0,Automatic,Electric,5.0,1.0,5.0,,Kia
Renault Zoe,11188.0,2021,21274.0,Automatic,Electric,5.0,1.0,5.0,,Renault
Renault Captur,10388.0,2019,33419.0,Manual,Diesel,5.0,2.0,5.0,1.5,Renault
Kia Sportage,11791.0,2016,55000.0,Manual,Petrol,5.0,3.0,5.0,1.6,Kia
Ford Focus Vignale,17145.0,2020,43289.0,Automatic,Diesel,5.0,3.0,5.0,2.0,Ford
Toyota Yaris Cross,22549.0,2021,18300.0,Automatic,Hybrid,5.0,2.0,5.0,1.5,Toyota
Volkswagen T-Roc,16501.0,2019,23185.0,Manual,Petrol,5.0,2.0,5.0,1.0,Volkswagen
