Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Volkswagen Tiguan,"£18,495",2020,"44,027 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.5
Renault Zoe,"£5,500",2016,"42,146 miles",Automatic,Electric,5 seats,4 owner(s),5 doors,N/A
Citroen C3,"£6,200",2016,"51,247 miles",Manual,Petrol,5 seats,3 owner(s),5 doors,1.2
Honda CR-V,"£29,500",2021,"13,355 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Renault Megane E Tech,"£25,178",2023,"4,882 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Volkswagen T-Cross,"£21,699",2020,"3,581 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1
Volkswagen ID.4,"£46,000",2023,"1,332 miles",Automatic,Electric,5 seats,295 bhp,5 doors,N/A
Volkswagen Tiguan,"£16,995",2017,"41,114 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Citroen C3 Aircross,"£13,500",2022,"12,251 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Nissan Qashqai,"£17,745",2022,"10,468 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.3
Volkswagen Polo,"£17,990",2023,"1,000 miles",Manual,Petrol,5 seats,79.1 bhp,5 doors,1
Volkswagen Tiguan,"£28,940",2019,"15,784 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Nissan Qashqai,"£34,995",2023,"1,010 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Volkswagen Touareg,"£53,031",2023,"1,459 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,3
Volkswagen T-Cross,"£18,290",2021,"15,254 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1
Volkswagen Tiguan,"£22,990",2020,"29,127 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Volkswagen Golf,"£22,001",2020,"12,398 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Mercedes-Benz GLA,"£15,190",2017,"46,600 miles",Semi-automatic,Diesel,5 seats,3 owner(s),5 doors,2.1
Nissan Juke,"£22,600",2023,"1,659 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Dacia Duster,"£10,995",2019,"27,710 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.3
Toyota C-HR,"£19,490",2021,"23,845 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.8
Volkswagen Touran,"£19,995",2020,"44,352 miles",Semi-automatic,Petrol,7 seats,1 owner(s),5 doors,1.5
Dacia Sandero Stepway,"£12,499",2022,"9,535 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Skoda Superb,"£36,000",2023,"3,998 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Volkswagen ID.3,"£24,500",2021,"2,472 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Ford EcoSport,"£9,990",2018,"36,629 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Toyota RAV4,"£28,990",2022,"21,538 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Skoda Karoq,"£17,890",2020,"16,773 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Skoda Kamiq,"£18,290",2021,"12,050 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Volkswagen ID.4,"£26,000",2022,"3,738 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota RAV4,"£24,990",2020,"31,393 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Toyota Corolla,"£24,473",2022,"6,702 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2
Dacia Duster,"£10,995",2019,"27,710 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.3
Nissan Juke,"£22,600",2023,"1,659 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Skoda Kodiaq,"£31,000",2023,"4,998 miles",Automatic,Diesel,5 seats,1 owner(s),5 doors,2
Renault Megane E Tech,"£25,000",2023,"3,290 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Yaris,"£17,690",2020,"14,806 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
