Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Toyota Aygo X,"£16,111",2023,"1,000 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Ford Fiesta,"£14,448",2021,"6,421 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Kia Sportage,"£15,295",2017,"39,736 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,2
Volkswagen Up,"£13,190",2021,"7,870 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Peugeot 2008,"£12,724",2019,"28,516 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Yaris,"£18,330",2023,"3,338 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Corolla,"£32,092",2023,"1,013 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.8
Nissan Qashqai,"£20,049",2022,"12,943 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.3
Skoda Superb,"£16,490",2020,"54,000 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.4
Audi Q2,"£31,600",2023,"5,482 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Nissan Qashqai,"£14,990",2020,"17,754 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.3
Nissan Juke,"£15,490",2020,"19,500 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Audi A3,"£34,909",2022,919 miles,Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Tesla Model 3,"£22,559",2020,"68,560 miles",Automatic,Electric,5 seats,1 owner(s),4 doors,N/A
Volkswagen Touran,"£17,490",2017,"19,319 miles",Semi-automatic,Diesel,7 seats,1 owner(s),5 doors,1.6
Kia EV6,"£30,000",2021,"29,958 miles",Automatic,Electric,5 seats,3 owner(s),5 doors,1
Volkswagen Polo,"£22,190",2023,"5,537 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Toyota Yaris,"£17,121",2020,"6,800 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Audi A4,"£25,900",2021,"23,032 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Audi A1,"£23,500",2023,"9,925 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1
Lexus NX,"£27,212",2020,"23,670 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2.5
Volkswagen Tiguan,"£18,901",2019,"15,488 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Peugeot 3008,"£20,495",2021,"7,835 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi A6,"£56,930",2023,"5,000 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Audi Q3,"£28,600",2022,"9,065 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q5,"£54,000",2022,"5,894 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,3
Suzuki Swift,"£9,650",2019,"29,738 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi A4,"£35,900",2023,"4,751 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
SEAT Leon,"£17,495",2020,"27,000 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,1.5
Audi A4,"£21,900",2019,"43,491 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Citroen C4 Cactus,"£10,495",2019,"16,662 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi A3,"£16,990",2020,"38,927 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q5,"£30,900",2019,"26,900 miles",Semi-automatic,Diesel,5 seats,2 owner(s),5 doors,2
Audi A6,"£41,500",2023,"7,546 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),4 doors,2
Toyota Yaris,"£18,065",2023,"2,600 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Audi A6,"£27,750",2019,"28,369 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Kia Niro,"£29,900",2022,"17,025 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Nissan Qashqai,"£24,490",2022,"7,035 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.3
Cupra Formentor,"£27,200",2023,"7,233 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi A1,"£23,900",2022,"13,217 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Ford Focus Vignale,"£15,500",2021,"36,651 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Toyota Yaris Cross,"£23,433",2023,"1,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Kia Sorento,"£38,995",2021,"10,959 miles",Automatic,Hybrid,7 seats,2 owner(s),5 doors,1.6
Nissan Qashqai,"£13,831",2020,"43,264 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.3
Volkswagen Touareg,"£72,900",2023,84 miles,Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,3
Kia Sportage,"£13,695",2018,"33,329 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.6
Toyota Yaris,"£16,449",2021,"7,988 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Vauxhall Astra,"£14,995",2019,"11,000 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.4
Nissan Juke,"£15,995",2021,"9,819 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1
Audi RS3,"£60,000",2023,"6,000 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2.5
Toyota Yaris,"£17,369",2021,"11,296 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£20,574",2022,"14,889 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Lexus NX,"£38,301",2021,"6,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Renault Captur,"£9,489",2019,"39,414 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,0.9
Toyota RAV4,"£27,305",2021,"22,875 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Toyota Yaris,"£16,896",2021,"16,766 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota RAV4,"£24,332",2020,"53,584 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2.5
Audi Q2,"£14,900",2017,"78,989 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,1.4
Toyota Yaris,"£17,369",2021,"11,296 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Audi A6,"£41,000",2023,"6,137 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Kia Sportage,"£13,695",2018,"33,329 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.6
Audi A3,"£26,900",2022,"18,779 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Volkswagen Taigo,"£27,955",2023,"4,781 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q8,"£65,900",2023,"5,478 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Yaris,"£17,815",2023,"5,358 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Ford EcoSport,"£11,490",2019,"29,627 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Land Rover Range Rover,"£44,870",2019,"43,833 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2
Skoda Enyaq,"£24,995",2021,"12,000 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Skoda Fabia,"£11,400",2019,"15,263 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Audi Q5,"£30,900",2020,"51,761 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Skoda Citigo,"£13,200",2020,"16,389 miles",Automatic,Electric,4 seats,1 owner(s),Not reported,N/A
Ford Fiesta,"£12,113",2018,"65,495 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.5
Peugeot 3008,"£20,495",2021,"7,835 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Yaris Cross,"£21,871",2023,"2,500 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Peugeot 3008,"£24,427",2021,"14,577 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Yaris Cross,"£23,412",2023,"1,250 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris,"£19,666",2023,"2,871 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Aygo X,"£14,450",2022,"11,505 miles",Automatic,Petrol,4 seats,1 owner(s),5 doors,1
Toyota Yaris Cross,"£21,921",2023,"1,849 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£23,276",2023,"2,887 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Kia Soul,"£30,995",2023,"4,122 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Yaris,"£18,307",2023,"3,588 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota RAV4,"£40,560",2023,"12,100 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Toyota Yaris Cross,"£23,102",2023,"4,998 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£22,994",2023,"6,321 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Audi A3,"£31,400",2020,"27,241 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Hyundai i20,"£11,973",2020,"20,509 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Peugeot 2008,"£23,990",2023,"6,000 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Citroen C4,"£17,695",2022,"8,136 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Suzuki Swift,"£12,995",2019,"22,099 miles",Automatic,Petrol,5 seats,2 owner(s),5 doors,1
Volkswagen Golf,"£39,901",2023,"5,294 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Kia Sportage,"£25,980",2022,"11,277 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.6
Toyota Yaris Cross,"£22,321",2022,"8,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Peugeot 208,"£13,499",2020,"4,270 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Citroen C5 Aircross,"£28,995",2023,"1,937 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Peugeot 3008,"£24,427",2021,"14,577 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Vauxhall Mokka,"£16,255",2021,"18,360 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Yaris,"£17,059",2022,"6,102 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£21,732",2023,"4,291 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Mitsubishi Outlander,"£21,000",2020,"10,725 miles",Semi-automatic,Petrol,7 seats,1 owner(s),5 doors,2
Toyota Yaris Cross,"£23,412",2023,"1,250 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£23,001",2023,"4,633 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Peugeot 308,"£10,403",2020,"60,590 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi A3,"£26,900",2022,"18,779 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q8,"£65,900",2023,"5,478 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Toyota Yaris,"£17,815",2023,"5,358 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Skoda Citigo,"£13,200",2020,"16,389 miles",Automatic,Electric,4 seats,1 owner(s),Not reported,N/A
Toyota Yaris,"£18,877",2023,"7,349 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
MG HS,"£16,870",2022,"17,707 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Ford Fiesta,"£12,113",2018,"65,495 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.5
Audi e-tron,"£49,000",2023,147 miles,Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Kia Niro,"£27,895",2022,"15,724 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Audi A6,"£41,000",2023,"6,137 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Skoda Enyaq,"£24,995",2021,"12,000 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Skoda Fabia,"£11,400",2019,"15,263 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Audi A3,"£23,000",2020,"20,000 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Ford EcoSport,"£11,490",2019,"29,627 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Volkswagen Taigo,"£27,955",2023,"4,781 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q5,"£30,900",2020,"51,761 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Volkswagen T-Cross,"£15,690",2020,"23,007 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Land Rover Range Rover Evoque,"£26,590",2019,"34,236 miles",Automatic,Diesel,5 seats,2 owner(s),5 doors,2
Land Rover Range Rover,"£44,870",2019,"43,833 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,2
Audi RS5,"£42,750",2021,"31,101 miles",Semi-automatic,Petrol,4 seats,2 owner(s),2 doors,2.9
Audi Q5,"£47,750",2023,"8,097 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Audi TT,"£27,000",2021,"18,245 miles",Semi-automatic,Petrol,4 seats,2 owner(s),2 doors,2
Toyota Yaris Cross,"£21,606",2023,"5,925 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota RAV4,"£28,787",2021,"7,007 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Lexus RX,"£33,905",2020,"25,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,3.5
Lexus NX,"£33,282",2020,"16,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Nissan X-Trail,"£40,437",2023,"6,000 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Tesla Model 3,"£22,058",2020,"61,869 miles",Automatic,Electric,5 seats,1 owner(s),4 doors,N/A
Skoda Karoq,"£18,290",2020,"13,362 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Ford Kuga,"£19,998",2021,"50,626 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2.5
Toyota Yaris,"£18,334",2022,"9,998 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Yaris Cross,"£23,516",2023,"2,561 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Honda HR-V,"£27,990",2023,"3,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Toyota Aygo X,"£14,034",2023,"2,517 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Ford Focus,"£16,498",2020,"5,963 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1
Ford Focus,"£15,295",2021,"12,346 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.5
Nissan Qashqai,"£16,869",2020,"29,932 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.3
Peugeot 208,"£19,275",2022,"5,403 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Ford Focus,"£20,385",2023,"8,922 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1
Ford Puma,"£18,562",2022,"16,507 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Volvo XC90,"£51,990",2022,"15,075 miles",Semi-automatic,Hybrid,7 seats,1 owner(s),5 doors,2
Volvo XC60,"£38,990",2022,"3,755 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Peugeot 2008,"£24,900",2022,"3,495 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Volkswagen ID.5,"£47,900",2023,"2,211 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Honda Civic,"£30,799",2023,"3,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Ford EcoSport,"£13,900",2021,"20,383 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Ford S-MAX,"£38,079",2023,"1,000 miles",Automatic,Hybrid,7 seats,1 owner(s),5 doors,2.5
Volkswagen ID.5,"£47,900",2023,"2,211 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Volvo XC90,"£51,990",2022,"15,075 miles",Semi-automatic,Hybrid,7 seats,1 owner(s),5 doors,2
Subaru Forester,"£36,500",2023,"5,266 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Mercedes-Benz CLS,"£28,558",2019,"62,000 miles",Semi-automatic,Diesel,5 seats,2 owner(s),4 doors,2.9
Citroen Berlingo,"£18,795",2020,"35,716 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.5
Audi Q5,"£47,900",2023,"4,751 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Peugeot Rifter,"£15,995",2019,"25,001 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.2
Nissan Qashqai,"£12,995",2020,"18,507 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.3
Citroen C1,"£8,995",2019,"21,782 miles",Manual,Petrol,4 seats,2 owner(s),5 doors,1
Volvo XC60,"£41,990",2023,"7,000 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Audi Q5,"£32,000",2019,"28,864 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,2
Audi Q3,"£33,400",2023,554 miles,Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi A7,"£30,400",2018,"39,968 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,3
Ford Focus,"£21,142",2023,"4,658 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1
Audi A6,"£35,000",2023,"6,801 miles",Semi-automatic,Petrol,5 seats,1 owner(s),4 doors,2
Citroen C4,"£16,495",2022,"7,579 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi Q5,"£47,900",2023,"4,751 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Peugeot Rifter,"£15,995",2019,"25,001 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.2
Volvo XC60,"£41,990",2023,"7,000 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Citroen C1,"£8,995",2019,"21,782 miles",Manual,Petrol,4 seats,2 owner(s),5 doors,1
SEAT Leon,"£13,495",2020,"36,998 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Citroen C4,"£16,495",2022,"7,579 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi Q7,"£43,700",2021,"42,744 miles",Semi-automatic,Diesel,7 seats,1 owner(s),5 doors,3
Ford Puma,"£17,698",2022,"12,724 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Honda Jazz,"£9,899",2018,"51,925 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.3
Ford Fiesta,"£18,404",2023,"10,238 miles",Semi-automatic,Petrol,5 seats,1 owner(s),3 doors,1
Toyota Aygo X,"£16,049",2022,"11,900 miles",Automatic,Petrol,4 seats,1 owner(s),5 doors,1
Peugeot 208,"£12,495",2018,"18,587 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Corolla,"£20,775",2020,"15,850 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Toyota Aygo X,"£16,357",2022,"5,554 miles",Automatic,Petrol,4 seats,1 owner(s),5 doors,1
Fiat 500,"£19,975",2022,"2,112 miles",Automatic,Electric,4 seats,1 owner(s),3 doors,N/A
Audi RS Q8,"£78,000",2021,"43,613 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,4
Volkswagen T-Cross,"£25,400",2023,"5,000 miles",Automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi A3,"£33,516",2023,"1,601 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
SEAT Leon,"£13,495",2020,"36,998 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Suzuki Swift,"£10,558",2018,"54,498 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.4
Vauxhall Corsa,"£10,258",2016,"33,393 miles",Automatic,Petrol,5 seats,2 owner(s),5 doors,1.4
Mercedes-Benz GLC Coupe,"£32,058",2020,"14,663 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),4 doors,2
Citroen Grand C4 SpaceTourer,"£11,999",2018,"59,237 miles",Manual,Petrol,7 seats,2 owner(s),5 doors,1.2
Vauxhall Grandland X,"£11,558",2019,"41,452 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.2
Vauxhall Astra,"£27,559",2023,"3,770 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Kia XCeed,"£14,058",2020,"59,500 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,1.4
Tesla Model 3,"£25,058",2020,"52,806 miles",Automatic,Electric,5 seats,1 owner(s),4 doors,N/A
Toyota Aygo X,"£16,357",2022,"5,554 miles",Automatic,Petrol,4 seats,1 owner(s),5 doors,1
Fiat 500,"£19,975",2022,"2,112 miles",Automatic,Electric,4 seats,1 owner(s),3 doors,N/A
Honda Jazz,"£20,450",2023,"4,000 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Volvo XC60,"£46,990",2022,"9,600 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Toyota C-HR,"£28,695",2023,919 miles,Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.8
Toyota Aygo X,"£14,995",2023,621 miles,Manual,Petrol,4 seats,1 owner(s),5 doors,1
Toyota Aygo,"£10,495",2020,"13,291 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Renault Clio,"£13,989",2021,"21,657 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.6
Volkswagen Tiguan Allspace,"£29,400",2023,"1,906 miles",Manual,Petrol,7 seats,1 owner(s),5 doors,1.5
Audi Q5,"£25,000",2018,"49,461 miles",Semi-automatic,Diesel,5 seats,2 owner(s),5 doors,2
Volkswagen Golf,"£13,900",2019,"57,281 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Volkswagen Golf,"£16,700",2020,"37,689 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Ford Focus,"£16,143",2021,"13,943 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Audi A4,"£30,400",2022,"12,686 miles",Semi-automatic,Diesel,5 seats,1 owner(s),4 doors,2
Volkswagen T-Roc,"£28,900",2023,"7,875 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi A8,"£72,900",2023,"1,032 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),4 doors,3
Audi Q2,"£24,250",2020,"21,928 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi e-tron GT,"£71,900",2023,"4,751 miles",Automatic,Electric,5 seats,1 owner(s),4 doors,N/A
Volkswagen Golf,"£23,790",2023,"4,521 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Toyota GR86,"£31,286",2022,"13,366 miles",Manual,Petrol,4 seats,1 owner(s),2 doors,2.4
Audi A3,"£34,900",2022,"8,323 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Peugeot 2008,"£15,990",2020,"27,234 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Audi Q8,"£62,000",2022,"14,897 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,3
Volkswagen Golf,"£36,995",2023,"1,224 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,1.4
Audi Q3,"£37,900",2023,"3,758 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Volkswagen Tiguan,"£25,600",2020,"24,747 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Audi RS6,"£80,900",2021,"22,592 miles",Semi-automatic,Petrol,4 seats,2 owner(s),5 doors,4
Audi Q5,"£56,861",2023,"5,000 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Audi Q3,"£33,000",2019,"20,101 miles",Semi-automatic,Diesel,5 seats,3 owner(s),5 doors,2
Audi e-tron,"£28,000",2020,"12,951 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Audi A3,"£31,861",2023,"3,324 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
Audi Q3,"£27,400",2021,"11,743 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Audi A6,"£43,900",2023,"4,633 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Audi A1,"£20,500",2022,"14,524 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1
Lexus UX,"£29,128",2022,"13,410 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Audi Q4,"£59,041",2023,925 miles,Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Audi A6,"£33,500",2021,"15,200 miles",Semi-automatic,Diesel,5 seats,2 owner(s),4 doors,2
Audi Q4,"£38,500",2021,"10,053 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Volkswagen Tiguan,"£32,400",2023,"7,404 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.5
Volkswagen Polo,"£22,800",2023,"6,649 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Peugeot 2008,"£15,490",2020,"15,669 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Audi A3,"£31,500",2020,"21,409 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Audi RS6,"£73,000",2021,"38,598 miles",Semi-automatic,Petrol,4 seats,1 owner(s),5 doors,4
Volkswagen ID.5,"£39,500",2023,"4,515 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Audi Q5,"£36,000",2022,"18,606 miles",Semi-automatic,Diesel,5 seats,1 owner(s),5 doors,2
Vauxhall Corsa,"£10,258",2016,"33,393 miles",Automatic,Petrol,5 seats,2 owner(s),5 doors,1.4
Kia XCeed,"£14,058",2020,"59,500 miles",Semi-automatic,Petrol,5 seats,2 owner(s),5 doors,1.4
Citroen Grand C4 SpaceTourer,"£11,999",2018,"59,237 miles",Manual,Petrol,7 seats,2 owner(s),5 doors,1.2
Vauxhall Grandland X,"£11,558",2019,"41,452 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.2
Mercedes-Benz CLS,"£28,558",2019,"62,000 miles",Semi-automatic,Diesel,5 seats,2 owner(s),4 doors,2.9
Subaru Forester,"£36,500",2023,"5,266 miles",Semi-automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Suzuki Swift,"£10,558",2018,"54,498 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1.4
